"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","10n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"2","D1, D2, D3, D4","4","1N4007","Diode_SMD:D_SMB",""
"3","J1","1","TRCV","Library:SO-239",""
"4","J2","1","ANT-3","Library:SO-239",""
"5","J3","1","ANT-2","Library:SO-239",""
"6","J4","1","ANT-1","Library:SO-239",""
"7","J5","1","Input","Library:Conn_2x1",""
"8","J6","1","Output","Library:Conn_2x1",""
"9","J7","1","hdr-idc 2.54mm","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical",""
"10","J8","1","PTT","Library:Conn_1x1",""
"11","RL1, RL2, RL3, RL4","4","G2RL-2-DC12","Relay_THT:Relay_DPDT_Omron_G2RL",""
